Clark !	Yeah !
Yeah !	Did you read the paper to-day ?
Did you read the paper to-day ?	No !
No !	He take off his jacket. I was just wondering how many fucking pages it had ! Casey laughs.
I' sorry I'm late. I got stuck in traffic on the freeway.	Listen... We're just about to get started.
Listen... We're just about to get started.	You know. I'll just wait out here for a while.
You know. I'll just wait out here for a while.	Why don't you join us ?
Why don't you join us ?	Oh no... Listen... I's the last thing I need right now...
Oh no... Listen... I's the last thing I need right now...	I'm serious... I could use a second look.
All right... Come on in...	Open the gate.
You bring me a confession ?	No.
No.	Well, you win some, you lose some, right Capa ?
Well, you win some, you lose some, right Capa ?	Listen, maybe it was not one of the group
Listen, maybe it was not one of the group	Oh no... he's beginning to like them already. Your friend Bob Moore deserves a lot more loyalty than this.
Oh no... he's beginning to like them already. Your friend Bob Moore deserves a lot more loyalty than this.	Hey... Why... Why are we staying here shouting at each other for ? What's this place ?
Hey... Why... Why are we staying here shouting at each other for ? What's this place ?	It's a nice place.  I like it.  
So, that's it, hey ?	Yeah.
.  All right  ?  She turns around to face him.  I want to get dressed up.  	Right now ?
She is looking at herself in the full-length mirror. Who's that?	That's my analyst ! He's coming to visit me.
That's my analyst ! He's coming to visit me.	When she hears Sondra's last reply, Rose's carefree face becomes very anxious. He what?
When she hears Sondra's last reply, Rose's carefree face becomes very anxious. He what?	Oh, my God. He's coming over.
Oh, my God. He's coming over.	Sondra, thanks. Oh, thanks a lot !
Sondra, thanks. Oh, thanks a lot !	What's the matter ? What ?
What's the matter ? What ?	. .  maybe have dinner.  
. .  maybe have dinner.  	 Well, we can Oh, don't worry.  Don't be upset.  You can stay here.  Really.  
 Well, we can Oh, don't worry.  Don't be upset.  You can stay here.  Really.  	She closes her purse and puts it over her shoulder. You just don't understand, do you?
She closes her purse and puts it over her shoulder. You just don't understand, do you?	I don't.
I don't.	Nobody appreciates you the way that I do. People just use you, and you don't even see it.
Nobody appreciates you the way that I do. People just use you, and you don't even see it.	Oh, don't be upset. She turns to Rose to look at her face.
Oh, don't be upset. She turns to Rose to look at her face.	Sondra seems very disturbed by the kiss.  She puts her hands on her chest.  
He raises his mask : It's Dale.  	Hello. Did you go to the house?
Hello. Did you go to the house?	I would have phone ahead, but, uh, I don't have your phone number in our file.  
I would have phone ahead, but, uh, I don't have your phone number in our file.  	No problem.  So, uh, did you make up your mind ? 
No problem.  So, uh, did you make up your mind ? 	After Dr. Niedelmeyer, did Richie get another psychiatrist ?
After Dr. Niedelmeyer, did Richie get another psychiatrist ?	 Dale goes around a huge, geometrically shaped, metallic structure Richie went to school.  Everything was fine.  
 Dale goes around a huge, geometrically shaped, metallic structure Richie went to school.  Everything was fine.  	I see a kid that's on the brink.  
I see a kid that's on the brink.  	. .  to fuck around in the brain is gonna paralyze the person.  That's Richie.  
. .  to fuck around in the brain is gonna paralyze the person.  That's Richie.  	What's the bullet ?
What's the bullet ?	Whatever it was, I got him away. He has taken protection glasses to work.
Whatever it was, I got him away. He has taken protection glasses to work.	You want to talk about that ?
You want to talk about that ?	 Let the demons rest You dig around in Richie's head, he's gonna blow up in your face.  
 Let the demons rest You dig around in Richie's head, he's gonna blow up in your face.  	You think he's violent ?
You think he's violent ?	Not with me.
Not with me.	If you don't like me, let's get him someone else.  
If you don't like me, let's get him someone else.  	Jesus Christ. One of you is the same as another.
 Oh  ! . . .  A direct hit  !  The tank skids into the water and stops.  	Voice ironically disappointed. Oh.
Voice ironically disappointed. Oh.	Oh, our, our tank fleet is crippled.
Oh, our, our tank fleet is crippled.	Yeah ?
Yeah ?	It's goin' away.
It's goin' away.	She turns around and we guess she is grabbing Bill's penis under water. How's the submarine fleet ?
She turns around and we guess she is grabbing Bill's penis under water. How's the submarine fleet ?	Hey, hey, hey, hey, please, please. I gotta get some sleep.
Hey, hey, hey, hey, please, please. I gotta get some sleep.	They kiss. Oh, you're chicken.
They kiss. Oh, you're chicken.	I gotta be up...
You-You go away!	Another patient was bled to death  !  I think that I might be next  !  
Another patient was bled to death  !  I think that I might be next  !  	Go away !
Go away !	Niedelmeyer  !  What are you hiding from me  ?  What is it ? 
Niedelmeyer  !  What are you hiding from me  ?  What is it ? 	Nothing.
Nothing.	Bill tears the phone away from her hands.  Put that phone down.  
Bill tears the phone away from her hands.  Put that phone down.  	I'm calling the police !
I'm calling the police !	Put the phone down ! Put the phone down !
Put the phone down ! Put the phone down !	Please  !  What kind of twisted creature are you  ?  I've never done anything to you.  
Please  !  What kind of twisted creature are you  ?  I've never done anything to you.  	My patient Richie is involved...
My patient Richie is involved...	Why in God's name are you doing this horrible joke ?
Why in God's name are you doing this horrible joke ?	If you just help me...
If you just help me...	Richie Dexter is dead ! He killed himself four years ago.
