Can't believe she's back.	Of course she is.
That's not true, I heard the Royal had one of their best seasons yet.	He needs to try something new.
Nina pauses to scrutinize her.  She wears vampy make-up, hair down.  Dark and sexy.  	Soloists? Wary, the girls mumble mmm-hmm's and nod.
LEGS, HANDS, and FEET repeat the same movements all around her, led by a severe BALLET MISTRESS.  	?  Using the mirror, Nina monitors her movements carefully The mistress surprises her.  
If now's not a good time...	Now's fine, what is it?
Now's fine, what is it?	I just wanted to tell you, I practiced the coda last night, and I did it.
I just wanted to tell you, I practiced the coda last night, and I did it.	How thrilling for you.
How thrilling for you.	Well...
Well...	Okay, Nina, listen, I honestly don't care about your technique, you should know that by now.
Okay, Nina, listen, I honestly don't care about your technique, you should know that by now.	Yes, but-
Yes, but-	Anyway, I've already chosen Veronica, so... He lifts his hands in the air, "there you go."
Anyway, I've already chosen Veronica, so... He lifts his hands in the air, "there you go."	I see. She makes a move towards the door.
I see. She makes a move towards the door.	?  She looks back at him, uncertain Leroy nonchalantly stubs out his cigarette.  
?  She looks back at him, uncertain Leroy nonchalantly stubs out his cigarette.  	He pauses, looks her up and down as if trying to decipher her.  
He pauses, looks her up and down as if trying to decipher her.  	Why are you here? All dolled up?
Why are you here? All dolled up?	I came to ask you to give me the part.
I came to ask you to give me the part.	That all? She doesn't know what he means. He comes around his desk and approaches her.
That all? She doesn't know what he means. He comes around his desk and approaches her.	 Ideal casting But the Black Swan. . . it's a hard fucking job to dance both.  
 Ideal casting But the Black Swan. . . it's a hard fucking job to dance both.  	I can be the Black Swan too.
I can be the Black Swan too.	Insecure, she looks like she wants to run out of the room.  
Insecure, she looks like she wants to run out of the room.  	All that discipline, for what?
All that discipline, for what?	I want to be perfect. He laughs.
I want to be perfect. He laughs.	Surprising the audience.  Surprising yourself.  Transcendence.  He considers her for a moment.  
It lasts for a moment, but he suddenly jerks away.  	Ow! Fuck! He touches his lip, stunned.
Hey! Look who it is. Lily closes the door behind her and locks it.	I'm Lily, by the way. Don't think we've officially met.
I'm Lily, by the way. Don't think we've officially met.	Nina.
Nina.	Our New Swan Queen! That is so huge! You must be freaking out.
Our New Swan Queen! That is so huge! You must be freaking out.	Yeah... Lily slides her PANTIES out from under her dress and puts them in her clutch.
Yeah... Lily slides her PANTIES out from under her dress and puts them in her clutch.	I should probably get back.
I should probably get back.	Stay. Keep me company. Lily starts to refresh her makeup. Nina stays put for a second, uncertain.
Here. She turns, finds Leroy holding out yet another flute of champagne. For himself, a scotch.	Uncomfortable, she takes a drink as well.  
Uncomfortable, she takes a drink as well.  	I thought it'd be good to talk about the role. Ground us a little.
I thought it'd be good to talk about the role. Ground us a little.	Yes.
Yes.	I don't want there to be any boundaries between us.  
I don't want there to be any boundaries between us.  	Me neither.
Me neither.	He waits for an answer.  Finally she manages a reply.  
He waits for an answer.  Finally she manages a reply.  	No...
No...	Have you had many in the past?
Have you had many in the past?	A few. But no one serious.
A few. But no one serious.	You're not a virgin, are you? Her expression sours at this line of questioning. She shakes her head.
You're not a virgin, are you? Her expression sours at this line of questioning. She shakes her head.	Then there's nothing to be embarrassed about, is there? And you enjoy making love?
Then there's nothing to be embarrassed about, is there? And you enjoy making love?	Excuse me?
Excuse me?	Sex. Do you enjoy it? Blushing and feeling awkward, she takes a sip of champagne.
Sex. Do you enjoy it? Blushing and feeling awkward, she takes a sip of champagne.	We need to be able to talk about this.
We need to be able to talk about this.	Okay.
Okay.	So? Nina looks at him, embarrassed, and shrugs. He smirks, and joins her on the couch.
So? Nina looks at him, embarrassed, and shrugs. He smirks, and joins her on the couch.	I have a homework assignment for you.
I have a homework assignment for you.	Yes?
Yes?	Go home and masturbate. Live a little. She blanches, scandalized. He finishes off his scotch and stands.
 They resume dancing She finishes, out of breath, and looks at Leroy and the Russian ballet mistress.  	When she finishes, she looks at him, eager for feedback.  
When she finishes, she looks at him, eager for feedback.  	Again. The music starts up again. Nina stays still, frustrated.
Again. The music starts up again. Nina stays still, frustrated.	Do you have any corrections?
Do you have any corrections?	No. She doesn't understand. He gets up from his chair and goes to her.
No. She doesn't understand. He gets up from his chair and goes to her.	Lily talked to me. Said she saw you crying. Nina looks away. Can't believe Lily talked to him.
Lily talked to me. Said she saw you crying. Nina looks away. Can't believe Lily talked to him.	She said you were upset and I should "take it easy" on you.
She said you were upset and I should "take it easy" on you.	I didn't tell her that.
So?	And only... Nina bites her tongue.
And only... Nina bites her tongue.	Only what?
Only what?	Nothing.
Nothing.	What?
What?	Nothing. Erica glares at her.
Nothing. Erica glares at her.	How's your skin?
How's your skin?	It's fine.
It's fine.	We leaving it alone?
We leaving it alone?	Yes.
Yes.	Let me see. Nina stares back defiantly.
Let me see. Nina stares back defiantly.	Take off your shirt.
Lily. You made her my alternate.	There's always an alternate, you know that. Lily's the best choice.
There's always an alternate, you know that. Lily's the best choice.	She wants my role.
She wants my role.	Every dancer in the world wants your role.
Every dancer in the world wants your role.	No, she's different. She's after me. She's trying to replace me.
No, she's different. She's after me. She's trying to replace me.	Nina...
Nina...	Please believe me. He studies her for a moment, not sure what to make of this.
Please believe me. He studies her for a moment, not sure what to make of this.	Nina starts to speak, he holds up his hand to silence her.  
She peeks through and finds. . .  LILY looking back at her.  	Hey...you were amazing. Nina's petrified.
